Venue Name,City,Contact Email,URL
Unknown,Copenhagen,11info@vega.dkEnghavevej,https://vega.dk/en/bag-om-vega-1
Unknown,Helsingør,anders@karosserifabrikken.dk,https://www.karosserifabrikken.dk/en/karosserifabrikken/
Unknown,Helsingør,ChatbotChatbotcontact@festivation.comContact,https://festivation.com/best-music-festivals-helsing%C3%B8r-denmark
Unknown,Helsingør,Uscontact@festivation.com,https://festivation.com/best-music-festivals-helsing%C3%B8r-denmark
Unknown,Helsingør,FEstivation.comcontact@festivation.comContact,https://festivation.com/best-music-festivals-helsing%C3%B8r-denmark
Unknown,Helsingør,billet@kuto.dk,https://kuto.dk/english/
Unknown,Køge,info@limunt.com,https://limunt.com/en/live-music-in-coege/
Unknown,Køge,57info@limunt.comLimunt,https://limunt.com/en/live-music-in-coege/
Unknown,Slagelse,BorbyBORBY@Roys,https://www.bandsintown.com/c/slagelse-denmark
Unknown,Næstved,BorbyBORBY@Roys,https://www.bandsintown.com/c/naestved-denmark
Unknown,Næstved,info@limunt.com,https://limunt.com/en/the-best-entertainment-for-your-party-in-naestved/
Unknown,Næstved,57info@limunt.comLimunt,https://limunt.com/en/the-best-entertainment-for-your-party-in-naestved/
Unknown,Holbæk,info@limunt.com,https://limunt.com/en/jazzbandiholbaek/
Unknown,Holbæk,57info@limunt.comLimunt,https://limunt.com/en/jazzbandiholbaek/
Unknown,Lyngby,Sk@b,https://evendo.com/locations/denmark/north-zealand/landmark/templet
Unknown,Lyngby,support@evendo.com,https://evendo.com/locations/denmark/north-zealand/landmark/templet
